new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
i guess that means harassing tom ridge , fighting tax cuts and obstructing president bush 's plans to reform judiciary . |||O O O O O O O O O O O O O O O O O O O O O 
that 's all i can say . |||O O O O O O O 
he would have brought a lot to the race . |||O O O O O O O O O O 
he brings a lot to the senate and to the debate . |||O O O O O O O O O O O O 
and i 'm glad that he 's going to be fighting those fights . |||O O O O O O O O O O O O O O 
well , the commerce department reports today that consumer spending declined in january and that the manufacturing sector slowed in february . |||O O O O O O O O O O O O O O O O O O O O O O 
in all , two million americans have lost their jobs under president bush so far , not to mention three of them being the top three leaders of his economic team . |||O O O O O O O B-TRI I-TRI O O O O O O O O O O O O O O O O O O O O O O O 
meanwhile , the deficit now at $ 300 billion . |||O O O O O O O O O O 
it could swell to as much as $ 500 billion if we go to war in iraq . |||O O O O O O O O O O O O O O B-TRI O O O 
mr. bush apparently is untroubled by this fiscal collapse . |||O O O O O O O O O O 
one of his aides tells the current issue of " time , " magazine , quote , " even if it 's $ 500 billion , so what ? " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
of course , even a $ 500 billion deficit number does n't count the $ 3 trillion mr. bush is robbing from the social security trust fund . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
you know , we should have known , every time george w. bush gets in trouble , he borrows from a trust fund . |||O O O O O O O O O O O O O O O O O O O O O O O O 
it 's been his whole life , you know . |||O O O O O O O O O O 
let me give you two economic facts of like , which you should know , even if you wo n't recognize them . |||O O O O O O O O O O O O O O O O O O O O O O O 
number one , there is absolutely no relationship between the deficit and unemployment . |||O O O O O O O O O O O O O O 
and number two , there is no social security fund , virginia . |||O O O O O O O O O O O O O 
begala because bush squandered it on his tax cuts . |||O O O O O O O O O O 
there never has been one . |||O O O O O O 
there has been one for 60 years . |||O O O O O O O O 
new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
novak former arkansas governor and u.s. senator dale bumpers has just published a memoir called " the best lawyer in a one - lawyer town . " |||O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O 
and it spans his life from the depression era to the clinton era . |||O O O O O O O O O O O O O O 
let 's ask him which was more depressing . |||O O O O O O O O O 
begala first , thank you for writing this book . |||O O O O O O O O O O 
and then we read you one passage . |||O O O O O O O O 
you cite a session you had with president lyndon johnson in austin , i guess , at his ranch , right ? |||O O O B-TRI O O O O O O O O O O O O O O O O O O 
here is what you quote our president johnson to you . |||O O O O O O O O O O O 
" when i was majority leader , and later president , i spent all my time pulling every power string i could find to pull , trying to pass bills that helped people . |||O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
that made their lives better and the country stronger . |||O O O O O O O O O O 
that 's what the democrats stand for . " |||O O O O O O O O O 
republicans just stand for two things : protecting the rich and investigation democrats . " |||O O O O O O O O O O O O O O O 
that 's true , though , is n't it ? |||O O O O O O O O O O 
johnson was right , was n't he ? |||O O O O O O O O 
i thought that was one of the most prescient things i ever heard , and that was long before white water . |||O O O O O O O O O O O O O O O O O O O O O O 
he never heard of ken starr , but he anticipated it . |||O O O O O O O O O O O O 
novak can i interrupt this democratic picnic for just a minute ? |||O O O O O O O O O O O O 
you know , senator , inadvertently , you gave support in this book to one of my pet political themes , which you probably do n't agree with . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
on page 256 you say , " as the years went by " -- this is when you were in the senate -- " less and less information was new , fewer and fewer arguments were fresh , and the repetitiveness of the old arguments became tiresome . " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
" i was becoming almost as cynical as my constituents . |||O O O O O O O O O O O 
i knew it was time to leave . " |||O O O O O O B-TRI I-TRI O 
is n't that a great argument for term limits ? |||O O O O O O O O O O 
i know very few senators or any who are as good in their third term as they are in their first term . |||O O O O O O O O O O O O O O O O O O O O O O O 
should n't we limit them to two terms ? |||O O O O O O O O O 
first of all , that statement is not designed to cover everybody in the united states senate . |||O O O O O O O O O O O O O O O O O O 
but i must say , that 's a pretty accurate statement . |||O O O O O O O O O O O O 
but it has nothing do with term limits , in my opinion . |||O O O O O O O O O O O O O 
i think term limits is the worst idea i ever heard of . |||O O O O O O O O O O O O O 
let me turn one more page , to page 257 , actually , right next door to where bob was reading . |||O O O O O O O O O O O O O O O O O O O O O O 
this struck me because you 've got the courage to say something that is heretical today and it 's music to my ears . |||O O O O O O O O O O O O O O O O O O O O O O O O 
you say , " partisanship has taken on an odious connotation , and it may indeed be shriller now than ever . |||O O O O O O O O O O O O O O O O O O O O O O 
but we should n't lose sight of the fact that we have two political parties so people will have choices . |||O O O O O O O O O O O O O O O O O O O O O 
if everybody agreed on everything , it might be a tranquil society , but it surely would be a dole one , and certainly not certainly a good one . " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
you know , paul , that 's the reason we have two parties , so people have a choice . |||O O O O O O O O O O O O O O O O O O O O 
and i 've said many times , if we all agreed on everything , everybody would want to marry betty and we would really be in a mess , would n't we , bob ? |||O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O 
novak senator bumpers , of the 22 senators of the old confederacy , when i got to washington with the associated press , 45 years ago , 22 of them were democrats , nine were republicans . |||O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O 
now 13 are republicans and nine are democrats . |||O O O O O O O O O 
and of the democrats , i do n't think there is a real liberal . |||O O O O O O O O O O O O O O O 
your last year in the senate i had an interview with you and i wrote a column called " the last southern liberal . " |||O O O O O O O O O O O O O O O O O O O O O O O O O 
it was a very flattering article , bob . |||O O O O O O O O O 
and you said , i 'll quote it , you said , today 's southern voters are " children of democrats who are not swayed by the same things their mothers and fathers were . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
they certainly are susceptible to the republican message . " |||O O O O O O O O O O 
that 's a good future for the democratic party in the south . |||O O O O O O O O O O O O O 
bob , i think that the reason everybody in the south -- you know , first of all , we were -- when franklin roosevelt was elected president , we had been living what we thought was still a conquered nation after the civil war . |||O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O B-TRI I-TRI I-TRI 
and we felt that franklin roosevelt was the first person who ever really acknowledged that the south had peculiar problems . |||O O O O O O O O O O O O O O O O O O O O O 
and from that time on , that 's the reason we had 22 democratic senators from 11 confederate states , is because of the civil war and because of what we thought was a heavy hand of the federal government all the time . |||O O O O O O O O O O O O O O O O O O O O O O O O B-TRI I-TRI O O O O O O O O O O O O O O O O O O 
of course there was always that old story about the yankees , and yankees were synonymous with republicans . |||O O O O O O O O O O O O O O O O O O O 
but that 's all changed and memories have dimmed . |||O O O O O O O O O O 
and people , you know , they do n't remember that . |||O O O O O O O O O O O O 
and so the message , the republicans have actually had a golden opportunity to make their case and they 've done it successfully . |||O O O O O O O O O O O O O O O O O O O O O O O O 
and the democrats need desperately to get a message to counter that , and they need to get a message and stay on it . |||O O O O O O O O O O O O O O O O O O O O O O O O O 
i mean we can not be all over the lot. |||O O O O O O O O O O 
novak ( unintelligible ) they 're just not buying the new deal anymore in the south . |||O O O O O O O O O O O O O O O O O 
they 're not buying a new deal . |||O O O O O O O O 
but i 'll tell you the message the democrats ought to be -- that every time we get sort of within the grasp of the golden age , i mean within reach of the golden age , where everybody has health care , where everybody get s a good education -- you know i 'm one of the million and a half people -- my brother went to harvard , i went to northwestern university . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
two schools my father could n't have even thought about affording . |||O O O O O O O O O O O O 
a million and a half veterans came out of war world ii on the gi bill and got that kind of an education . |||O O O O O O O O O B-TRI I-TRI I-TRI O O O O O O O O O O O O 
if that makes me a liberal , because i believe the government has a role to play in that , then i am a certified liberal , because i think that made the country stronger . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
i think certainly it made every one of those people stronger , and i think we ought to be doing it right now . |||O O O O O O O O O O O O O O O O O O O O O O O O 
no child in this country ought to be deprived of an education for lack of money . |||O O O O O O O O O O O O O O O O O 
no elderly person ought to have to make a choice between food and medicine . |||O O O O O O O O O O O O O O O 
and they do it by the millions every day . |||O O O O O O O O O O 
will you run for president ? |||O O O O O O 
dale bumpers for president , ladies and gentlemen . |||O O O O O O O O O 
the book again is dale bumpers , " the best lawyer in a one - lawyer town . " |||O O O O O O O O O O O O O O O O O O O 
and next in our " fireback " segment , one of our viewers has a question about our president 's concept of democracy . |||O O O O O O O O O O O O O O O O O O O O O O O O 
new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
novak time for " fireback , " when the viewers fire back at us . |||O O O O O O O O O O O O O O O 
joshua hosford of newport beach , california -- that would be nice in this weathers -- " paul , i guess we 're going after all . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
case in point , khalid shaikh mohammed . |||O O O O O O O O 
it 's amazing how someone can actually do two things at once . |||O O O O O O O O O O O O O 
i 'm chewing gum and talking on the phone while writing this note . " |||O O O O O B-TRI O O O O O O O O O 
joshua , you could n't have said anything better . |||O O O O O O O O O O 
in fact , i 've already said it . |||O O O O O O O O O 
begala well , in fact , our allies got mr. mohammed along with us . |||O O O O O O O O O O O O O O O 
and bush is so far angered every ally we have . |||O O O O O O O O O O O 
dan snyder of baden , pennsylvania writes , " bush should torture the al qaeda chief operations officer . |||O O O O O O O O O O O B-TRI O O O O O O O 
bush has been torturing americans for two years . |||O O O O O O O O O 
why should this guy get preferential treatment ? " |||O O O O O O O O O 
novak and i thought he was -- i thought he was busy running the redskins . |||O O O O O O O O O O O O O O O O 
the next comment is from frank mastro of new york city . |||O O O O O O O O O O O O 
" mr. novak , i do n't understand the problem . |||O O O O O O O O O O O 
if the budget goes through as is , why do n't mr. begala and mr. carville just donate the extra tax money they do n't want ? " |||O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O 
i say that to all the rich millionaire democrats , like carville and begala , who do n't want tax cuts . |||O O O O O O O O O O O O O O O O O O O O O O 
i 'll donate to the democrats . |||O O B-TRI O O O O 
they 'll defeat bush and everybody will get rich . |||O O O O O O O O O O 
david horn of long island , new york , writes , " how can bush say he 's for democracy ? |||O O O O O O O O O O O O O O O O O O O O O 
he had to sue to become our president , and he keeps trying to bribe other countries ' democratic governments into his supporting his agenda . |||O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O 
where did he learn to govern , 1930 's chicago ? " |||O O O O O O O O O O O O 
new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
i 'm paul avalar ( ph ) from tempe , arizona . |||O O O O O O O O O O O O 
i had a question also about khalid shaikh mohammed . |||O O O O O O O O O O 
and now how are people going to argue that the u.s. can no longer both fight a war with iraq and also fight terrorism , specifically al qaeda ? |||O O O O O O O O O O O O O O O O O B-TRI O O O O O B-TRI I-TRI O O O O 
he has n't been able to answer it . |||O O O O O O O O O 
and tom andrews ( ph ) was n't able to answer it . |||O O O O O O O O O O O O O 
begala look , we need allies to catch these guys . |||O O O O O O O O O O O 
we got him because the pakistanis got him . |||O O O O O O O O O 
we go to war in iraq , 200,000 people start protesting in pakistan , they put too much pressure on the government . |||O O O B-TRI O O O O O O B-TRI O O O O O O O O O O O O 
it becomes impossible for those governments to cooperate with us like they 're cooperating now . |||O O O O O O O O O O O O O O O O 
we go to war in iraq , it would be the worst thing we can do ... |||O O O B-TRI O O O O O O O O O O O O O 
you know the one thing the democrats ca n't stand is good news . |||O O O O O O O O O O O O O O 
it is just something you can not handle . |||O O O O O O O O O 
what i ca n't stand is a president who is going to screw up our war against terrorism when i thought that was his job . |||O O O O O O O O O O O O O O O B-TRI O B-TRI O O O O O O O O 
from the left , i 'm paul begala . |||O O O O O O O O O 
from the right , i 'm robert novak . |||O O O O O O O O O 
join us again next time for another edition of crossfire . |||O O O O O O O O O O O 
interview with ralph nader , donald palmisano ; interview with congressmen j.d. hayworth , bernie sanders |||O O O O O O O O O O O O O O O O 
both the ama and the bush administration released reports this week saying out of control trial lawyers are driving doctors out of their practices all across the country . |||O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O 
president bush points this way today , even the most frivolous of lawsuits cost money , premiums go up and either way , the patient pays . |||O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O 
we 're debating malpractice reform with consumer advocate ralph nader , and ama president - elect dr. ronald palmisano . |||O O O O O O O O O O O O O O O O O O O O 
begala dr. palmisano , again , thanks for staying with us through the break . |||O O O O O O O O O O O O O O O 
let me set aside the hypocrisy of a man who became president because of a lawsuit trying to eliminate everybody else 's lawsuits , but instead focus on his own experience . |||O O O O O O O O O O B-TRI O O O O B-TRI O O O O O O B-TRI I-TRI O O O O O O O O 
he was the governor of my state of texas , where there are a whole lot of doctors . |||O O O O O O O O O O O O O O O O O O O 
it turns out that he did n't do any kind of a job policing your profession at all when he was the governor of texas . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
here 's what the " dallas morning news " reported recently : " the texas state board of medical examiners , the agency that pledges to protect the public has granted second and third chances to surgeons who are thrown out of hospitals because they botched operations . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI I-TRI O O O O O O O 
it has forgiven physicians who overlook cancerous tumors , who maimed infants or whose mistakes left women sterilized . |||O O O O O O O O O O O O O O O O O O O 
it has refused in the last five years to revoke the license of a single doctor for committing medical errors . |||O O O O O O O O O B-TRI O O O O O O O O O O O 
thousands more may have been ignored over the last decade . " |||O O O O O O O O O O O O 
that is the bush record in policing surgeons , why should we trust him now ? |||O O O O O O O O O O O O O O O O 
begala physicians generally , not just surgeons , forgive me . |||O O O O O O O O O O O 
what we need to do is to make sure that state boards , number one , have adequate funding . |||O O O O O O O O O O O O O O O O O O O O 
if there are any bad doctors we want them removed from the practice of medicine . |||O O O O O O O O O B-TRI O O O O O O 
well , it 's also unfair to make a judgment without knowing all of the facts of the case . |||O O O O O O O O O O O O O O O O O O O O 
because someone pays money in a case , the insurance company may pay money because they 're afraid there 's is going to be a giant award in this case because of this broken liability system . |||O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
troy brennan ( ph ) of harvard said there 's no correlation with negligence , only with disability . |||O O O O O O O O O O O O O O O O O O O 
so let 's look at all of the facts , but give everybody due process here in america before we criticize . |||O O O O O O O O O O O O O O O O O O O O O O 
nader actually , troy brennan , the same doctor at harvard public school of health said the issue is not to fuel lawsuits , it 's too many . |||O O O O O O O O O O O O O O O O O O O O O O B-TRI I-TRI O O O O O 
less than 10 percent of the victims of medical malpractice , and we 're talking about horrific injuries here , even file a claim . |||O O O O O O O O O O O O O O O O O B-TRI O O O O O O O 
and the entire pay - out to all of the victims that get a little money , not the 90 percent who never file a claim , amounts to less than what we spend on dog food . |||O O O B-TRI I-TRI I-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
it 's about $ 5.4 billion is the pay -out . |||O O O O O O O O B-TRI I-TRI I-TRI 
that 's a fraction of physician income . |||O O O O O O O O 
it 's a fraction of the health care expense of 1.4 trillion . |||O O O O O O O O O O O O O 
what we have to do is look at all the facts and have balance here . |||O O O O O O O O O O O O O O O O 
that 's what the people in congress have to do . |||O O O O O O O O O O O 
they have to make sure that whatever they decide keeps doctors in practice and patients having access to care . |||O O O O O O O O O O O O O O O O O O O O 
but let me - but let me - wait ... |||O O O O O O O O O O 
nader doctors are leaving practice because of insurance premium , right ? |||O O O B-TRI O O O O O O O O 
they do n't abandon their patients , except for the high premiums of a few specialties ? |||O O O O O O O O O O O O O O O O O 
but first of all let me ... |||O O O O O O O 
why do n't you crack down on the insurance companies ? |||O O O O O O O O O O O 
let 's talk about the facts . |||O O O O O O O 
let 's talk about the facts . |||O O O O O O O 
palmisano ( unintelligible ) percent of the doctors are insured by physician - owned insurance companies , the medical side . |||O O O O O O O O O O O O O O O O O O O O O 
i was just in oklahoma , they own this insurance company . |||O O O O O O O O O O O O 
they are trying to do their very best . |||O O O O O O O O O 
it 's a company not for profit . |||O O O O O O O O 
what happens here is that more money is being paid out than comes in . |||O O O O O O O O O O O O O O O 
and as far as the investment income , a.m. bests ( ph ) show that in the past five years , the investment income has been stable at around 5 percent . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
brown brothers harriman said that investments did not precipitate the current crisis. |||O O O O O O O O O O O O 
nader ... payoffs have been stable , adjusted for inflation , national practitioners databank ( ph ) . |||O O B-TRI O O O O O O O O O O O O O O O 
why do you want that to be secret ? |||O O O O O O O O O 
all of the information about bad doctors in the national practitioner bank , you , the ama wants to keep it secret from other doctors and other patients around the country who want to know whether their doctor is on that list . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
well , let 's look at what the president is actually proposing for people who have been harmed by a bad doctor . |||O O O O O O O O O O O O O O O O O B-TRI O O O O O 
let 's listen to what he said to the ama today . |||O O O O O O O O O O O O 
if harmed by a doc , they ought to be able to recover their economic costs , economic losses . |||O B-TRI O O O O O O O O O O B-TRI O O O O O O O 
they should be able to recover non - economic damages as well . |||O O O O O O O O O O O O O 
but for the sake of the system , non - economic damages should be capped at $ 250,000 . |||O O O O O O O O O O O O O O O O O O O 
what in the world is wrong with that ? |||O O O O O O O O O 
tell me what 's wrong with that ? |||O O O O O O O O 
tell someone who had a double mastectomy , tell an infant who 's brain - damaged and has no economic loss that for the rest of their lives they 're going to get dribbled out $ 250,000 for their entire life expectancy ? |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O 
the head of aig a few years ago was making $ 250,000 every week . |||O O O O O O O O O O O O O O O 
two hundred and fifty thousand dollars is a lot of money , though . |||O O O O O O O O O O O O O O 
not for you , but for most people it 's a lot of money . |||O O O O O O O O O O O O O O O 
these executives , why do n't you tell ... |||O O O O O O O O O 
palmisano in california - wait , mr. nader . |||O O O O O O O O O 
why do n't you cap insurance ... |||O O O O O O O 
begala mr. palmisano , go ahead . |||O O O O O O O 
give me a moment , please . |||O O O O O O O 
in california where they have this law , it caps the non-economics , the ones you ca n't quantify . |||O O O O O O O O O O O O O O O O O O O O 
there are awards in 10 million , 20 million , $ 30 million in california for economic . |||O O B-TRI O O O O O O O O O O O O O O O 
so all medicals , all rehabilitation , care services in the home , lost wages ... |||O O O O O O O O O O O O O O O O 
i 've got to ask mr. nader , we are almost out of time . |||O O O O O O O O O O O O O O O 
doug friedman ( ph ) , who ran jesse ventura 's campaign for governor four years ago , says he wants you to run for president again . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
i know you 're saying it 's much too early to run for president . |||O O O O O O O O O O O O O O O 
but one simple question , ralph , will you consider another run for president ? |||O O O O O O O O O O O O O O O 
nader much too early to consider . |||O O O O O O O 
i am concerned about donald zook ( ph ) , who 's head of a medical malpractice insurance company , a big one in the west , saying that his insurance company executive colleagues should not blame the tort injury system . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
he said that your problem of jacking up these insurance rates is self - inflicted . |||O O O O O O O O O O O O O O O O 
here 's an insurance company executive who is saying that . |||O O O O O O O O O O O 
well , mr. zook is one executive you are quoting . |||O O O O O O O O O O O 
what we need to do is look at all of the people who do n't have doctors ... |||O O O O O O O O O O O O O O O O O O 
hey , let 's get some agreement . |||O O O O O O O O 
should we get some agreement ? |||O O O O O O 
do you want to really crack down on the bad doctors ? |||O O O O O O O O O O O O 
we want to crack down on the attorneys who file frivolous suits . |||O O O O O O O O O O O O O 
palmisano seventy percent of the cases filed are told there 's no payment . |||O O O O O O O O O O O O B-TRI I-TRI 
what kind of peer review is that ? |||O O O O O O O O 
do you want to crack down on the bad doctors ? |||O O O O O O O O O O O 
we definitely want to crack down on bad doctors . |||O O O O O O O O O O 
do you want to control insurance rates ? |||O O O O O O O O 
we want the free market to dictate what is done . |||O O O O O O O O O O O 
the free market actually dictates we have got to sell some commercials here on cnn or we 're all out of ... |||O O O O O O O O O O O O O O O O O O O O O O 
interview with ralph nader , donald palmisano ; interview with congressmen j.d. hayworth , bernie sanders |||O O O O O O O O O O O O O O O O 
begala welcome back to crossfire . |||O O O O O O 
over in iraq , arms inspectors are discovering and destroying missiles . |||O O O O O O O O O O O O 
spy planes are searching for more banned arms , and iraqi scientists are being interviewed by u.n. weapons inspectors . |||O O O O O O O O O O O O O O O O O O O O 
but here in washington , president bush says it 's all a hoax , and many believe he has already made up his mind to go to war . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI I-TRI 
back with us to talk about it , two congressmen : |||O O O O O O O O O O O 
j.d. hayworth , the republican from arizona , and bernie sanders , an independent from vermo nt . |||O O O O O O O O O O O O O O O O O O 
novak congressman sanders , you 're opposed to this war . |||O O O O O O O O O B-TRI I-TRI 
i 'm not crazy about it myself . |||O O O O O B-TRI O O 
but i want to ask you a question . |||O O O O O O O O O 
when the guns begin to fire , when the american men and women are in harm 's way and may be dying , is that now the time for you and your allies to shut up and support the troops ? |||O O O O O O O O O O O O O O O O O O O O O B-TRI I-TRI O O O O O O O O O O O O O O O O O O 
well it 's not -- are you suggesting that when tens and thousands of iraqi women and children are killed , and when young men and women in this country are unnecessarily put at harm 's risk , what should we do ? |||O O O O O O O O O O O O O O O O O O O B-TRI I-TRI O O O O O O O O O O O O O O O O O O O O O O 
the answer is , these are my neighbors from vermont and obviously we 're going to support them . |||O O O O O O O O O O O O O O O O O O O 
and obviously we 're going to pray that there 's fewer casualties ... |||O O O O O O O O O O O B-TRI O 
are you going to demonstrate against them in the streets ? |||O O O O B-TRI O O O O O O 
no , i do n't demonstrate against anybody during a war . |||O O O O O B-TRI O O O O B-TRI I-TRI 
the president almost unilaterally is putting us in this position against world opinion . |||O O O O O O O O O O O O O O 
novak did n't the congress support it ? |||O O O O O O O O 
i thought you voted for it . |||O O O O O O O 
i did not vote for it . |||O O O O O O O 
novak i mean the congress . |||O O O O O O 
the congress gave him authority , but the american people disagreed with the decision . |||O O O O O O O O O O O O O O O 
not according to the polls . |||O O O O O O 
not the polls that i have seen . |||O O O O O O O O 
begala congressman hayworth , back to a comment . |||O O O O O O O O O 
and i know that you meant it and i agreed with it . |||O O O O O O O O O O O O O 
you said , " this is saddam hussein , the butcher of baghdad . " |||O O O O O O O O O O O O O O O 
i 'm curious , would that have accurately described him in 1988 ? |||O O O O O O O O O O O O O 
i think it has described him , especially since he 's taken basically a one - man rule over with the baath party in 1979 . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
therefore , was n't dick cheney , as the ceo of halliburton , wrong to be selling oilfield equipment to the butcher of baghdad in 1988 ? |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
hayworth i do n't know about any oil equipment going to saddam hussein . |||O O O O O O O O O O O O O O 
what i do know in the here and now is ... |||O O O O O O O O O O O 
i can tell you about it if you like . |||O O O O O O O O O O 
and i know you 'd love to cloud the issue . |||O O O O O O O O O O O 
that 's an important issue to me . |||O O O O O O O O 
no , it 's so important -- you know this -- and i know it 's fun and we love doing partisan punch & judy , but is there ever a time when we stand up even if we respectfully disagree with the commander in chief and those who would wage war ? |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI I-TRI 
dissent is fine , but these cheap shots , i do n't know anything about halliburton . |||O O O O O O O O O O O O O O O O O 
he had $ 73 million worth of ( unintelligible ) to sell oilfield equipment to saddam hussein . |||O O O O O O O O O O O O O O O O O O 
what i do know is saddam hussein has butchered over a million of his own citizens . |||O O O O O O O O B-TRI O O O O O O O O 
and to somehow try to play partisan parlor games may be cute , but we are dealing with a clear and present danger . |||O O O O O O O O O O O O O O O O O O O O O O O O 
begala would you have treated him as a customer , the way dick cheney did ? |||O O O O O O O O O O O O O O O O 
hayworth i do n't even know about that . |||O O O O O O O O O 
would you have sold oilfield equipment to him ? |||O O O O O O O O O 
sanders furthermore , the united states supported him in the war against iran . |||O O O O O O O O O O B-TRI O O O 
seventy - nine americans were held hostage . |||O O O O O O O O 
what we 're talking about is the unpredictable nature of war and what could happen in this war . |||O O O O O O O O O O B-TRI O O O O O O B-TRI I-TRI 
for example -- wait a second -- in iran , the reason that you had ayatollah khomeini in power is he overthrew the shah . |||O O O O O O O O O O O O O O O O O O O O O B-TRI O O O 
you who put the shah in power ? |||O O B-TRI O O O O O 
the united states of america . |||O O O O O O 
oh the evil united states . |||O O O O O O 
novak i want to get to that point . |||O O O O O O O O O 
but the problem with khomeini was that the guy who he overthrew was put in power by the united states . |||O O O O O O O O O O O B-TRI O B-TRI I-TRI I-TRI O O O O O 
i ca n't quite figure that out . |||O O O O O O O O 
